track_id,track_title,course_id,course_title,topic_id,lesson_id,lesson_type,lesson_duration_in_mins
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_1,PRACTICE,25
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_2,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_3,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_4,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_5,PRACTICE,2000
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_6,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_7,SESSION,60
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_8,PRACTICE,80
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_9,SESSION,45
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_10,SESSION,35
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_11,PRACTICE,105
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_12,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_1,lesson_13,SESSION,60
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_14,PRACTICE,120
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_15,SESSION,20
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_16,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_17,SESSION,25
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_18,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_19,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_20,SESSION,35
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_21,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_2,lesson_22,PRACTICE,45
track_1,Backend Developer,course_1,Node JS,topic_3,lesson_23,EXAM,30
track_1,Backend Developer,course_1,Node JS,topic_3,lesson_24,EXAM,45
track_1,Backend Developer,course_1,Node JS,topic_3,lesson_25,EXAM,45
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_26,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_27,SESSION,40
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_28,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_29,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_30,SESSION,40
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_31,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_32,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_33,SESSION,35
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_34,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_35,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_4,lesson_36,PRACTICE,90
track_1,Backend Developer,course_1,Node JS,topic_5,lesson_37,PRACTICE,90
track_1,Backend Developer,course_1,Node JS,topic_5,lesson_38,PRACTICE,180
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_39,SESSION,20
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_40,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_41,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_42,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_43,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_6,lesson_44,SESSION,5
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_45,SESSION,45
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_46,SESSION,40
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_47,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_48,PRACTICE,90
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_49,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_50,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_51,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_52,PRACTICE,80
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_53,PRACTICE,120
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_54,PRACTICE,30
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_55,PRACTICE,120
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_56,SESSION,45
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_57,SESSION,15
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_58,PRACTICE,90
track_1,Backend Developer,course_1,Node JS,topic_7,lesson_59,SESSION,55
track_2,English for Beginners,course_2,About Me,topic_8,lesson_60,PRACTICE,15
track_2,English for Beginners,course_2,About Me,topic_8,lesson_61,PRACTICE,15
track_2,English for Beginners,course_2,About Me,topic_8,lesson_62,PRACTICE,20
track_2,English for Beginners,course_2,About Me,topic_8,lesson_63,PRACTICE,20
track_2,English for Beginners,course_2,About Me,topic_8,lesson_64,PRACTICE,20
track_2,English for Beginners,course_2,About Me,topic_8,lesson_65,SESSION,20
track_2,English for Beginners,course_2,About Me,topic_8,lesson_66,PRACTICE,15
track_2,English for Beginners,course_2,About Me,topic_8,lesson_67,PRACTICE,20
track_2,English for Beginners,course_2,About Me,topic_8,lesson_68,PRACTICE,15
track_2,English for Beginners,course_2,About Me,topic_8,lesson_69,SESSION,10
track_2,English for Beginners,course_2,About Me,topic_8,lesson_70,PRACTICE,15
track_2,English for Beginners,course_2,About Me,topic_8,lesson_71,SESSION,20
