creation_datetime,user_id,lesson_id,lesson_type,rating
2022-02-14 18:03:10,user_4,lesson_1,SESSION,2
2022-01-21 19:01:18,user_34,lesson_43,SESSION,3
2022-02-06 20:28:09,user_46,lesson_120,SESSION,100
2022-04-01 19:56:01,user_18,lesson_200,SESSION,4
2022-03-22 12:17:16,user_18,lesson_175,SESSION,4
2022-03-03 21:07:50,user_34,lesson_85,SESSION,4
2022-03-07 20:26:28,user_18,lesson_85,SESSION,4
2022-04-01 19:56:58,user_18,lesson_224,SESSION,4
2022-03-21 18:54:04,user_18,lesson_170,SESSION,4
2022-03-19 18:42:48,user_18,lesson_218,SESSION,4
2022-03-06 11:04:19,user_22,lesson_218,SESSION,4
2022-03-23 18:26:42,user_18,lesson_184,SESSION,4
2022-03-25 18:39:20,user_18,lesson_190,SESSION,4
2022-03-12 14:54:40,user_11,lesson_352,SESSION,4
2022-02-25 20:41:48,user_11,lesson_278,SESSION,4
2022-04-01 19:01:16,user_18,lesson_317,SESSION,4
2022-02-13 10:45:52,user_11,lesson_484,SESSION,4
2022-03-24 18:43:51,user_18,lesson_187,SESSION,4
2022-03-03 15:47:59,user_11,lesson_174,SESSION,4
2022-03-09 23:56:28,user_22,lesson_497,SESSION,4
2022-01-20 22:50:21,user_22,lesson_276,SESSION,4
2022-03-04 23:28:28,user_18,lesson_35,SESSION,4
2022-03-11 20:35:47,user_18,lesson_181,SESSION,4
2022-03-25 19:50:13,user_18,lesson_220,SESSION,4
2022-03-09 15:20:31,user_22,lesson_263,SESSION,4
2022-02-10 16:39:56,user_23,lesson_31,SESSION,4
2022-02-10 16:37:00,user_23,lesson_31,SESSION,4
2022-02-14 13:54:28,user_11,lesson_508,SESSION,4
2022-03-25 18:55:21,user_18,lesson_288,SESSION,4
2022-02-11 16:14:39,user_23,lesson_120,SESSION,100
2022-02-06 19:35:20,user_15,lesson_120,SESSION,90
2022-02-07 8:15:23,user_19,lesson_120,SESSION,90
2022-03-07 17:39:06,user_14,lesson_120,SESSION,90
2022-01-15 21:52:25,user_22,lesson_120,SESSION,5
2022-02-06 19:42:27,user_49,lesson_120,SESSION,5
2022-01-12 19:13:40,user_47,lesson_120,SESSION,5
2022-02-08 21:17:39,user_11,lesson_120,SESSION,5
2022-02-13 10:37:38,user_11,lesson_443,SESSION,5
2022-04-01 19:59:17,user_18,lesson_200,SESSION,5
2022-03-31 19:56:19,user_18,lesson_199,SESSION,5
2022-02-05 12:52:46,user_4,lesson_19,SESSION,5
2022-02-14 16:39:57,user_11,lesson_819,SESSION,5
2022-03-08 23:08:48,user_22,lesson_164,SESSION,5
2022-03-06 12:22:17,user_22,lesson_169,SESSION,5
2022-03-20 18:53:13,user_18,lesson_169,SESSION,5
2022-01-28 14:25:41,user_22,lesson_153,SESSION,5
2022-02-18 10:49:38,user_19,lesson_153,SESSION,5
2022-02-25 12:06:57,user_49,lesson_153,SESSION,5
2022-02-24 20:42:22,user_11,lesson_153,SESSION,5
2022-02-21 9:47:23,user_16,lesson_109,SESSION,5
2022-02-14 9:12:07,user_23,lesson_32,SESSION,5
2022-02-19 21:34:45,user_7,lesson_32,SESSION,5
2022-02-15 19:15:50,user_11,lesson_32,SESSION,5
2022-01-19 21:38:21,user_22,lesson_32,SESSION,5
2022-01-19 21:17:28,user_22,lesson_32,SESSION,5
2022-02-21 0:59:48,user_4,lesson_24,SESSION,4
2022-03-03 17:19:28,user_22,lesson_86,SESSION,5
2022-03-10 17:23:33,user_22,lesson_175,SESSION,5
2022-03-21 18:53:35,user_18,lesson_175,SESSION,5
2022-01-18 0:00:16,user_16,lesson_55,SESSION,5
2022-03-01 15:32:13,user_49,lesson_55,SESSION,5
2022-02-22 21:51:02,user_11,lesson_55,SESSION,5
2022-03-12 23:40:17,user_11,lesson_85,SESSION,5
2022-03-02 17:14:21,user_22,lesson_85,SESSION,5
2022-03-28 20:02:12,user_44,lesson_85,SESSION,5
2022-03-01 21:52:25,user_16,lesson_568,SESSION,5
2022-03-09 23:40:19,user_22,lesson_279,SESSION,5
2022-02-08 11:01:32,user_4,lesson_25,SESSION,5
2022-03-01 0:42:32,user_16,lesson_224,SESSION,5
2022-03-12 22:27:12,user_22,lesson_193,SESSION,5
2022-03-29 18:53:31,user_18,lesson_193,SESSION,5
2022-02-07 8:18:32,user_11,lesson_24,SESSION,5
2022-02-07 6:33:04,user_46,lesson_24,SESSION,5
2022-02-07 6:39:19,user_49,lesson_24,SESSION,5
2022-01-16 8:51:20,user_22,lesson_24,SESSION,5
2022-02-07 8:18:32,user_11,lesson_24,SESSION,5
2022-02-27 19:57:59,user_18,lesson_36,SESSION,5
2022-03-05 18:33:55,user_11,lesson_36,SESSION,5
2022-02-24 16:27:08,user_22,lesson_36,SESSION,5
2022-03-10 13:12:55,user_22,lesson_170,SESSION,5
2022-03-06 11:04:03,user_22,lesson_218,SESSION,5
2022-04-09 13:27:00,user_44,lesson_218,SESSION,5
2022-03-10 23:12:37,user_22,lesson_184,SESSION,5
2022-03-12 0:51:53,user_22,lesson_190,SESSION,5
2022-03-06 10:11:07,user_46,lesson_352,SESSION,5
2022-02-28 14:15:41,user_22,lesson_352,SESSION,5
2022-04-03 22:25:27,user_31,lesson_163,SESSION,5
2022-03-16 18:38:24,user_18,lesson_163,SESSION,5
2022-03-07 23:03:16,user_22,lesson_163,SESSION,5
2022-02-18 11:37:13,user_11,lesson_4,SESSION,5
2022-01-20 23:36:56,user_22,lesson_4,SESSION,5
2022-02-17 13:49:19,user_23,lesson_4,SESSION,5
